TWEET_ID,EVENT_TYPE,EVENT,TWEET,EVENT_INI,EVENT_END,QUESTION,bld,bgd,d,ald,agd,count,split
t100_7_8,VBN,['confused'],"""@agingjoy Excuse me ? Uppity ? :: confused ::""",7,8,is the author of this tweet involved in the event confused  ?,certYES,certNO,certYES,certYES,probNO,1,test
t1005_7_8,VBP,['suggest'],"""Follow Friday : Once again , I suggest you tell everyone you know to FOLLOW ME ! Let ' s get me over 200 followers ! Porn robots welcome ! #ff""",7,8,is the author of this tweet involved in the event suggest  ?,certYES,certYES,certYES,probYES,probYES,1,test
t1013_11_12,VBP,['suck'],"""Football game tonight :) yeeah boilers .. oh wait , we suck . haha""",11,12,is the author of this tweet involved in the event suck  ?,certNO,certNO,certNO,probYES,certNO,1,test
t1015_18_19,VBG,['running'],"""For code I ' ve written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .""",18,19,is the author of this tweet involved in the event running  ?,certYES,certYES,certNO,certNO,certNO,1,test
t1015_23_24,VBN,['been'],"""For code I ' ve written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .""",23,24,is the author of this tweet involved in the event been  ?,INV,INV,INV,INV,INV,0,test
t1015_5_6,VBN,['written'],"""For code I ' ve written since Sept ' 09 , the delay between commit to SCM and running on customer hardware has been about 10 days .""",5,6,is the author of this tweet involved in the event written  ?,probYES,certYES,certNO,certNO,certNO,1,test
t1027_8_9,VBG,['configuring'],"""... four fucking years I ' ve been configuring iBGP and eBGP on Cisco AND Juniper routers for America ' s largest wireless ISP ... and I get a 612""",8,9,is the author of this tweet involved in the event configuring  ?,certYES,certYES,certNO,probYES,probYES,1,test
t1029_8_9,VBG,['moving'],"""@Foxy_Shoe_Thief * purrs long on the inside , moving stealthy like my pard taught me to do .. ears pulled back , claws out long * @MicahPardKing""",8,9,is the author of this tweet involved in the event moving  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1031_8_9,VBN,['called'],"""@frankenteen So excited ! But .... I just called into work Tuesday night ... it ' s horrible but at the same time really important to work .""",8,9,is the author of this tweet involved in the event called  ?,probNO,probYES,certNO,certNO,certNO,1,test
t104_10_11,VBP,['shoot'],"""A guy at work calls me Larry Bird when I shoot hoops in the break room . Should I call him Joel Ward if he ' s playing air hockey ? #profiling .""",10,11,is the author of this tweet involved in the event shoot  ?,probYES,certYES,certNO,probYES,probYES,1,test
t104_19_20,VBP,['call'],"""A guy at work calls me Larry Bird when I shoot hoops in the break room . Should I call him Joel Ward if he ' s playing air hockey ? #profiling .""",19,20,is the author of this tweet involved in the event call  ?,certNO,certNO,certNO,probYES,probYES,1,test
t104_27_28,VBG,['playing'],"""A guy at work calls me Larry Bird when I shoot hoops in the break room . Should I call him Joel Ward if he ' s playing air hockey ? #profiling .""",27,28,is the author of this tweet involved in the event playing  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1042_12_13,VBG,['calling'],"""@FrequentKushUps lol damn now the script has flipped . i was just calling you 1 when i was gonna go and you wanted to move to ohio lol""",12,13,is the author of this tweet involved in the event calling  ?,certNO,certYES,certNO,certNO,certNO,1,test
t1042_7_8,VBN,['flipped'],"""@FrequentKushUps lol damn now the script has flipped . i was just calling you 1 when i was gonna go and you wanted to move to ohio lol""",7,8,is the author of this tweet involved in the event flipped  ?,certNO,certNO,certNO,certNO,certNO,0,test
t1062_6_7,VBP,['give'],"""Fucking bitches all the time i give em Dick im on dey mind i got angels demons constantine""",6,7,is the author of this tweet involved in the event give  ?,probYES,certYES,certNO,probNO,probYES,1,test
t1064_5_6,VBN,['missed'],"""Fuckk man ! I fuckinn missed @yelyahwilliams concert :( #shizz ! I wonder if they're coming to Arizona next year ??""",5,6,is the author of this tweet involved in the event missed  ?,probYES,probYES,certNO,certNO,certNO,1,test
t1071_5_6,VBG,['FUCKING'],"""FUUCCCKKKK . I WAS SO FUCKING READY FOR MY GOD DAMN ALONE TIME , AND IT TURNS OUT FUCKING MADI HAS AN ILLNESS AND IS HOME W/DAD . GOD . DAMN .""",5,6,is the author of this tweet involved in the event FUCKING  ?,INV,INV,INV,INV,INV,0,test
t1085_2_3,VBP,['see'],"""@gcouros I see that , regretfully I was tied up , Physed at Forest Green - have a good one""",2,3,is the author of this tweet involved in the event see  ?,certYES,probYES,certYES,probYES,probYES,1,test
t1090_4_5,VBG,['seeing'],"""@Genuine Will I be seeing you at #typeamom next week ?""",4,5,is the author of this tweet involved in the event seeing  ?,certNO,certNO,certNO,certNO,probYES,1,test
t1096_24_25,VBP,['secure'],"""Get out of the gross weather and come tour Stadium View ! We have some great spaces available and would love to help you secure yours !""",24,25,is the author of this tweet involved in the event secure  ?,certNO,certNO,certNO,probYES,probYES,1,test
t1106_7_8,VBP,['fall'],"""!!!!! "" @GetzWat_I_Want : #YourSexIsWEAK If I fall asleep during it ... Nigga get off me !!!!!!! """"",7,8,is the author of this tweet involved in the event fall  ?,certNO,certNO,certNO,probYES,certNO,1,test
